Id,SalePrice
1461,146800
1462,151500
1463,187500
1464,207500
1465,127500
1466,195000
1467,138500
1468,180000
1469,145000
1470,123000
1471,196000
1472,118000
1473,89500
1474,148500
1475,75000
1476,340000
1477,227680
1478,314810
1479,240000
1480,301500
1481,320000
1482,202500
1483,187100
1484,160200
1485,130500
1486,183500
1487,342640
1488,232000
1489,176430
1490,218000
1491,180000
1492,108000
1493,181900
1494,238000
1495,271000
1496,286000
1497,146000
1498,147500
1499,173730
1500,173730
1501,172500
1502,173730
1503,315500
1504,207500
1505,392000
1506,236500
1507,339750
1508,240000
1509,140000
1510,153500
1511,147500
1512,167000
1513,170000
1514,147500
1515,193500
1516,160000
1517,157900
1518,179600
1519,193500
1520,139000
1521,157000
1522,222000
1523,113000
1524,115000
1525,94750
1526,137000
1527,123000
1528,118500
1529,155000
1530,147500
1531,122500
1532,147500
1533,123500
1534,113000
1535,184000
1536,124000
1537,76000
1538,178000
1539,159500
1540,147500
1541,157500
1542,175900
1543,200100
1544,80000
1545,112000
1546,131000
1547,177500
1548,128000
1549,134900
1550,159000
1551,127000
1552,189000
1553,147500
1554,114500
1555,180000
1556,147500
1557,147500
1558,110000
1559,147500
1560,175900
1561,147500
1562,115000
1563,124900
1564,179200
1565,212000
1566,168000
1567,76000
1568,260000
1569,138800
1570,115000
1571,115000
1572,181500
1573,157500
1574,179900
1575,121500
1576,310000
1577,187750
1578,168000
1579,129500
1580,173000
1581,138800
1582,127000
1583,305900
1584,263000
1585,140000
1586,147500
1587,108000
1588,157000
1589,141000
1590,127000
1591,147500
1592,109900
1593,110000
1594,147500
1595,147500
1596,290000
1597,239000
1598,179670
1599,129900
1600,194200
1601,147500
1602,131000
1603,100000
1604,275000
1605,230000
1606,145000
1607,147500
1608,182000
1609,169990
1610,170000
1611,158500
1612,169990
1613,182000
1614,83500
1615,147500
1616,147500
1617,83500
1618,147500
1619,111250
1620,200000
1621,130500
1622,152000
1623,307000
1624,235000
1625,111250
1626,167900
1627,187500
1628,345000
1629,160000
1630,278000
1631,181000
1632,236500
1633,163900
1634,159000
1635,184000
1636,187750
1637,250000
1638,197900
1639,215000
1640,315000
1641,165500
1642,175900
1643,191000
1644,172500
1645,275000
1646,156000
1647,162500
1648,208300
1649,142000
1650,134900
1651,123000
1652,83000
1653,83000
1654,148500
1655,75500
1656,146000
1657,148500
1658,148500
1659,92000
1660,131400
1661,412500
1662,345000
1663,402860
1664,611660
1665,255500
1666,335000
1667,335000
1668,147500
1669,226000
1670,320000
1671,274000
1672,555000
1673,309000
1674,233170
1675,224000
1676,196000
1677,203000
1678,385000
1679,440000
1680,319900
1681,202670
1682,326000
1683,171750
1684,155840
1685,174000
1686,159900
1687,170000
1688,178000
1689,178000
1690,184000
1691,183200
1692,287090
1693,112000
1694,184000
1695,112000
1696,260000
1697,112000
1698,345000
1699,213250
1700,236000
1701,290000
1702,255500
1703,295490
1704,307000
1705,265900
1706,350000
1707,287090
1708,179600
1709,232000
1710,194700
1711,310000
1712,318060
1713,324000
1714,207500
1715,185900
1716,176430
1717,208300
1718,147500
1719,195000
1720,270000
1721,142500
1722,147500
1723,155000
1724,187750
1725,214900
1726,205950
1727,202500
1728,154000
1729,154000
1730,184100
1731,130250
1732,120500
1733,129500
1734,132000
1735,127000
1736,112500
1737,440000
1738,187500
1739,151400
1740,234000
1741,197000
1742,168500
1743,183900
1744,377500
1745,283460
1746,159500
1747,187500
1748,317000
1749,157900
1750,157000
1751,239000
1752,129900
1753,225000
1754,236000
1755,143000
1756,129900
1757,110000
1758,153000
1759,170000
1760,174900
1761,167000
1762,236000
1763,157000
1764,115000
1765,262500
1766,218000
1767,259000
1768,125000
1769,182900
1770,134500
1771,119000
1772,156500
1773,144900
1774,216840
1775,119000
1776,112000
1777,100000
1778,127000
1779,147500
1780,184000
1781,119000
1782,73000
1783,155840
1784,79000
1785,186000
1786,191000
1787,183000
1788,147500
1789,64500
1790,96500
1791,317000
1792,167000
1793,129500
1794,129000
1795,149900
1796,93500
1797,166000
1798,99500
1799,130500
1800,100000
1801,178900
1802,140000
1803,122500
1804,156000
1805,119000
1806,159430
1807,225000
1808,172790
1809,147500
1810,177500
1811,147500
1812,147500
1813,128000
1814,109500
1815,91300
1816,82000
1817,140000
1818,106000
1819,114500
1820,147500
1821,147500
1822,178000
1823,147500
1824,126180
1825,79000
1826,83000
1827,119750
1828,137450
1829,153900
1830,213500
1831,160000
1832,147500
1833,107500
1834,79000
1835,147500
1836,191000
1837,147500
1838,95000
1839,86000
1840,147500
1841,145500
1842,120000
1843,146800
1844,129500
1845,172790
1846,245500
1847,242000
1848,147500
1849,112000
1850,128900
1851,184000
1852,133700
1853,155900
1854,147000
1855,134430
1856,200000
1857,242000
1858,142950
1859,118860
1860,153340
1861,118860
1862,354000
1863,216500
1864,299800
1865,297000
1866,297000
1867,204900
1868,319000
1869,206000
1870,194000
1871,232000
1872,155840
1873,260000
1874,156000
1875,180000
1876,193000
1877,218000
1878,232600
1879,133500
1880,129900
1881,306000
1882,248000
1883,287090
1884,197900
1885,260000
1886,360000
1887,220000
1888,307000
1889,155840
1890,179900
1891,145000
1892,112500
1893,157000
1894,147500
1895,157000
1896,143000
1897,103600
1898,66500
1899,100000
1900,101000
1901,184000
1902,245500
1903,122500
1904,174900
1905,150900
1906,135500
1907,289000
1908,75000
1909,83500
1910,75000
1911,164900
1912,223000
1913,122500
1914,147500
1915,264560
1916,147500
1917,239000
1918,149900
1919,165500
1920,249700
1921,465000
1922,270000
1923,266500
1924,181900
1925,191000
1926,402860
1927,149900
1928,180500
1929,133000
1930,83000
1931,134900
1932,162000
1933,212000
1934,173000
1935,159500
1936,184000
1937,168000
1938,221000
1939,185850
1940,108480
1941,181000
1942,231500
1943,126180
1944,309000
1945,315000
1946,147500
1947,275000
1948,402000
1949,241500
1950,165000
1951,223000
1952,217000
1953,143000
1954,228500
1955,105000
1956,354000
1957,169990
1958,335000
1959,191000
1960,115000
1961,134800
1962,85400
1963,83000
1964,118000
1965,148500
1966,167240
1967,315500
1968,611660
1969,301500
1970,451950
1971,426000
1972,345000
1973,263000
1974,339750
1975,611660
1976,297000
1977,340000
1978,556580
1979,295490
1980,227680
1981,367290
1982,254000
1983,202500
1984,175500
1985,246580
1986,246580
1987,159900
1988,180000
1989,183500
1990,219500
1991,224000
1992,224900
1993,287090
1994,244000
1995,183500
1996,265000
1997,230500
1998,374000
1999,310000
2000,290000
2001,236000
2002,221000
2003,266000
2004,237000
2005,287090
2006,185500
2007,248900
2008,165000
2009,212000
2010,224500
2011,147500
2012,140000
2013,185900
2014,193000
2015,164900
2016,185900
2017,188000
2018,130250
2019,129500
2020,125000
2021,88000
2022,157900
2023,212000
2024,299800
2025,285000
2026,159900
2027,173730
2028,146000
2029,179400
2030,328900
2031,207500
2032,246580
2033,246580
2034,179400
2035,223500
2036,172500
2037,147500
2038,151400
2039,154000
2040,244400
2041,260000
2042,287090
2043,159000
2044,236500
2045,241500
2046,147500
2047,184000
2048,125000
2049,136910
2050,184000
2051,82000
2052,186000
2053,82500
2054,83000
2055,167000
2056,123000
2057,132000
2058,226000
2059,119000
2060,165500
2061,221000
2062,145500
2063,108000
2064,129000
2065,137000
2066,202500
2067,90000
2068,142600
2069,82000
2070,116000
2071,86000
2072,198900
2073,131400
2074,164900
2075,149900
2076,120500
2077,119000
2078,125000
2079,139000
2080,119750
2081,128000
2082,147500
2083,145000
2084,109500
2085,99500
2086,101800
2087,110000
2088,116000
2089,80000
2090,107400
2091,147500
2092,145000
2093,200100
2094,147500
2095,179900
2096,109500
2097,147500
2098,166000
2099,86000
2100,147500
2101,178000
2102,106000
2103,110000
2104,122500
2105,147500
2106,147500
2107,200000
2108,110000
2109,60000
2110,134000
2111,91500
2112,145000
2113,121600
2114,79000
2115,164000
2116,107900
2117,175900
2118,127000
2119,108480
2120,116900
2121,147500
2122,120000
2123,80500
2124,175900
2125,141500
2126,176500
2127,147500
2128,159430
2129,109500
2130,95000
2131,234000
2132,110000
2133,109900
2134,110000
2135,147500
2136,147500
2137,113000
2138,156000
2139,145000
2140,131400
2141,151000
2142,135000
2143,134800
2144,108960
2145,132000
2146,180500
2147,165500
2148,131000
2149,142500
2150,241500
2151,66500
2152,147500
2153,167000
2154,147500
2155,162000
2156,383970
2157,307000
2158,215000
2159,169000
2160,178900
2161,232000
2162,374000
2163,318000
2164,224000
2165,158000
2166,142500
2167,220000
2168,223500
2169,200500
2170,164900
2171,178400
2172,148000
2173,181900
2174,228500
2175,235000
2176,377500
2177,255900
2178,197900
2179,149000
2180,307000
2181,176430
2182,221500
2183,176430
2184,141000
2185,111250
2186,153340
2187,148000
2188,188500
2189,147500
2190,147500
2191,147500
2192,147500
2193,147500
2194,147500
2195,122900
2196,139400
2197,117000
2198,202500
2199,172500
2200,105000
2201,172790
2202,183200
2203,195000
2204,184000
2205,108000
2206,127500
2207,197000
2208,225000
2209,335000
2210,83500
2211,119000
2212,66500
2213,147500
2214,127000
2215,109900
2216,225000
2217,133500
2218,79000
2219,97000
2220,96500
2221,264560
2222,275000
2223,280000
2224,197900
2225,90000
2226,307000
2227,246580
2228,306000
2229,223500
2230,170000
2231,196500
2232,227680
2233,160000
2234,226000
2235,277500
2236,241500
2237,394430
2238,220000
2239,147500
2240,164000
2241,147500
2242,129900
2243,127000
2244,91000
2245,91000
2246,157900
2247,147500
2248,124900
2249,130500
2250,111250
2251,402000
2252,214000
2253,163900
2254,180000
2255,252680
2256,188500
2257,200000
2258,60000
2259,172400
2260,157900
2261,127500
2262,199900
2263,354000
2264,402000
2265,186700
2266,213000
2267,301500
2268,377430
2269,152000
2270,158900
2271,262000
2272,187500
2273,158000
2274,165000
2275,182900
2276,168500
2277,193000
2278,148000
2279,112500
2280,141000
2281,196000
2282,180000
2283,89500
2284,75000
2285,160200
2286,127000
2287,337500
2288,235130
2289,465000
2290,451950
2291,309000
2292,440000
2293,465000
2294,582930
2295,501840
2296,240000
2297,274300
2298,320000
2299,485000
2300,310000
2301,223500
2302,307000
2303,200000
2304,252000
2305,246580
2306,246580
2307,224000
2308,147500
2309,277500
2310,202500
2311,246580
2312,287090
2313,174000
2314,224500
2315,178000
2316,195000
2317,139900
2318,178000
2319,176000
2320,208300
2321,175900
2322,159900
2323,160000
2324,170000
2325,214000
2326,287090
2327,219500
2328,252680
2329,173000
2330,178000
2331,315000
2332,424870
2333,313000
2334,255900
2335,250000
2336,337000
2337,169990
2338,306000
2339,214000
2340,402860
2341,287090
2342,214000
2343,224000
2344,222500
2345,191000
2346,250580
2347,176490
2348,188000
2349,178900
2350,287090
2351,245350
2352,318000
2353,275500
2354,147500
2355,147500
2356,149900
2357,191000
2358,215000
2359,116000
2360,112500
2361,142500
2362,240000
2363,149900
2364,158000
2365,196000
2366,160200
2367,234000
2368,246580
2369,287090
2370,179400
2371,177500
2372,187750
2373,216500
2374,350000
2375,270000
2376,402860
2377,501840
2378,147500
2379,259500
2380,107000
2381,166000
2382,190000
2383,225000
2384,236000
2385,148000
2386,156000
2387,132000
2388,84900
2389,129000
2390,147500
2391,129000
2392,67000
2393,147500
2394,140000
2395,236000
2396,137500
2397,335000
2398,135500
2399,147500
2400,147500
2401,85000
2402,136000
2403,179600
2404,144000
2405,167500
2406,125000
2407,127000
2408,134000
2409,110000
2410,190000
2411,128500
2412,145000
2413,152000
2414,135000
2415,191000
2416,94750
2417,112500
2418,130250
2419,162900
2420,125000
2421,153000
2422,133500
2423,147500
2424,215000
2425,475000
2426,166000
2427,147500
2428,158000
2429,110000
2430,125000
2431,102000
2432,132000
2433,127500
2434,139000
2435,392000
2436,107500
2437,115000
2438,133000
2439,109900
2440,129900
2441,149300
2442,160200
2443,109900
