100,50,8,0.02,0.020328,6.551e-06
100,50,10,0.02,0.020553,1.1059e-05
100,50,12,0.02,0.020351,7.0286e-06
100,100,8,0.01,0.009974,2.5955e-07
100,100,10,0.01,0.010118,1.181e-06
100,100,12,0.01,0.010198,1.9753e-06
100,150,8,0.0066667,0.0066523,9.5736e-08
100,150,10,0.0066667,0.0067051,2.56e-07
100,150,12,0.0066667,0.0066818,1.0107e-07
200,50,8,0.02,0.02052,1.0397e-05
200,50,10,0.02,0.020004,8.2253e-08
200,50,12,0.02,0.020166,3.3178e-06
200,100,8,0.01,0.010021,2.1099e-07
200,100,10,0.01,0.01001,9.6679e-08
200,100,12,0.01,0.010089,8.9207e-07
200,150,8,0.0066667,0.0067239,3.8177e-07
200,150,10,0.0066667,0.0066885,1.4529e-07
200,150,12,0.0066667,0.0066197,3.1285e-07
300,50,8,0.02,0.024012,8.0244e-05
300,50,10,0.02,0.020405,8.1057e-06
300,50,12,0.02,0.019991,1.7055e-07
300,100,8,0.01,0.0098736,1.2639e-06
300,100,10,0.01,0.010037,3.7083e-07
300,100,12,0.01,0.0099591,4.0863e-07
300,150,8,0.0066667,0.0067188,3.4784e-07
300,150,10,0.0066667,0.006802,9.0252e-07
300,150,12,0.0066667,0.0067119,3.0124e-07
